1;1674.00;10.15;1021.00;big
1;1705.00;12.43;972.00;big
2;2224.00;9.90;341.00;big
2;2169.00;10.57;198.00;big
2;2184.00;11.78;269.00;small
3;1078.00;9.50;1408.00;big
3;975.00;9.50;1435.00;big
4;724.00;9.50;1234.00;big
4;623.00;9.50;1183.00;big
4;508.00;9.50;1241.00;small
5;3231.00;9.50;1347.00;big
5;3361.00;9.50;1563.00;big
6;3768.00;9.50;475.00;big
6;3771.00;9.50;348.00;big
7;1131.00;9.50;1263.00;big
7;1006.00;10.65;1186.00;big
7;1222.00;9.50;1221.00;big
8;3508.00;9.50;398.00;big
8;3323.00;9.50;394.00;big
9;1161.00;9.60;1567.00;big
9;1178.00;10.78;1647.00;big
10;1227.00;9.50;1773.00;big
10;1287.00;9.50;1687.00;big
10;1190.00;9.78;1697.00;big
11;1294.00;9.50;1911.00;big
11;1310.00;9.50;1845.00;big
12;1086.00;9.50;2032.00;big
12;1195.00;9.50;1998.00;big
12;1298.00;9.50;2033.00;big
12;1138.00;9.50;2032.00;big
13;3878.00;9.50;163.00;big
13;4028.00;9.50;66.00;big
14;3737.00;9.50;86.00;big
14;3721.00;9.50;217.00;big
14;3636.00;9.50;154.00;big
14;3564.00;9.50;40.00;big
15;1998.00;10.03;168.00;big
15;2067.00;12.25;215.00;big
16;162.00;9.50;534.00;big
16;4042.00;9.50;529.00;big
17;508.00;9.50;1426.00;small
18;3462.00;9.50;81.00;big
18;3322.00;9.50;135.00;big
19;495.00;9.50;1577.00;small
19;416.00;9.50;1573.00;small
20;3480.00;9.50;1100.00;big
20;3649.00;9.50;1118.00;big
21;222.00;9.50;1422.00;big
21;341.00;9.50;1427.00;big
22;1313.00;9.50;1508.00;big
22;1233.00;9.50;1393.00;big
23;195.00;9.50;1540.00;big
23;156.00;9.50;1572.00;big
23;205.00;9.50;1643.00;big
23;194.00;9.50;1736.00;big
23;137.00;9.50;1693.00;big
24;198.00;9.50;1846.00;big
24;270.00;9.50;1876.00;big
25;281.00;9.50;1949.00;big
25;353.00;9.50;1913.00;big
26;621.00;9.50;2034.00;big
26;504.00;9.60;1975.00;big
27;822.00;9.50;2028.00;big
27;858.00;10.70;1974.00;big
